station,laser_red,laser_blue,frequency,vgg_ste,order,station_id,point_id,full_path,session_date,fg5_file
nsul,632.9902737687,632.9912558124,9999999.99781182,0.121,first,nsul,63,C:\gData\gProjects\brigade_4\first_order\nsul\063,20230718,C:\gData\gProjects\brigade_4\first_order\nsul\063\absolute\20230718\raw\063_20230718.fg5
pavl,632.9902736596,632.9912558237,9999999.99783687,0.006,first,pavl,630,C:\gData\gProjects\brigade_4\first_order\pavl\0630,20230714,C:\gData\gProjects\brigade_4\first_order\pavl\0630\absolute\20230714\raw\0630_20230714.fg5
petr,632.9902737141,632.991255818,9999999.997824345,0.011,first,petr,5003,C:\gData\gProjects\brigade_4\first_order\petr\5003,20230716,C:\gData\gProjects\brigade_4\first_order\petr\5003\absolute\20230716\raw\5003_20230716.fg5
proz,632.9902750499,632.9912556802,9999999.997529237,0.002,first,proz,akag,C:\gData\gProjects\brigade_4\first_order\proz\akag,20230903,C:\gData\gProjects\brigade_4\first_order\proz\akag\absolute\20230903\raw\proz_proz.fg5
sagy,632.9902747501,632.9912557111,9999999.997586364,0.002,first,sagy,1264,C:\gData\gProjects\brigade_4\first_order\sagy\1264,20230823,C:\gData\gProjects\brigade_4\first_order\sagy\1264\absolute\20230823\raw\1264_sagy.fg5
sayk,632.9902745865,632.991255728,9999999.99762394,0.007,first,sayk,122,C:\gData\gProjects\brigade_4\first_order\sayk\122,20230817,C:\gData\gProjects\brigade_4\first_order\sayk\122\absolute\20230817\raw\122_sayk.fg5
seng,632.9902740413,632.9912557843,9999999.997749193,0.002,first,seng,seng,C:\gData\gProjects\brigade_4\first_order\seng\seng,20230729,C:\gData\gProjects\brigade_4\first_order\seng\seng\absolute\20230729\raw\seng_20230729.fg5
shar,632.9902736051,632.9912558293,9999999.997849394,0.042,first,shar,99,C:\gData\gProjects\brigade_4\first_order\shar\099,20230712,C:\gData\gProjects\brigade_4\first_order\shar\099\absolute\20230712\raw\099_20230712.fg5
shas,632.9902750499,632.9912556802,9999999.997529237,0.013,first,shas,999,C:\gData\gProjects\brigade_4\first_order\shas\999,20230903,C:\gData\gProjects\brigade_4\first_order\shas\999\absolute\20230903\raw\999_shas.fg5
shu,632.9902748591,632.9912556999,9999999.997561315,0.003,first,shu,119,C:\gData\gProjects\brigade_4\first_order\shu\0119,20230827,C:\gData\gProjects\brigade_4\first_order\shu\0119\absolute\20230827\raw\0119_shu.fg5
tals,632.9902736869,632.9912558209,9999999.997830609,0.018,first,tals,3301,C:\gData\gProjects\brigade_4\first_order\tals\3301,20230715,C:\gData\gProjects\brigade_4\first_order\tals\3301\absolute\20230715\raw\3301_20230715.fg5
tara,632.9902748319,632.9912557027,9999999.997567575,0.01,first,tara,127,C:\gData\gProjects\brigade_4\first_order\tara\0127,20230826,C:\gData\gProjects\brigade_4\first_order\tara\0127\absolute\20230826\raw\0127_tara.fg5
tkud,632.9902747228,632.9912557139,9999999.997592626,0.001,first,tkud,tkud,C:\gData\gProjects\brigade_4\first_order\tkud\tkud,20230822,C:\gData\gProjects\brigade_4\first_order\tkud\tkud\absolute\20230822\raw\tkud_tkud.fg5
torg,632.9902739868,632.9912557899,9999999.997761715,0.003,first,torg,9333,C:\gData\gProjects\brigade_4\first_order\torg\9333,20230726,C:\gData\gProjects\brigade_4\first_order\torg\9333\absolute\20230726\raw\9333_torg.fg5
