station;order;point;method;station_name;latitude;longitude;elevation;gravity_eff;ste_eff;h_eff;h_eff_plate;setup_height;tie;ste_tie;a;b;ua;ub;covab;gravity;total_uncert;expanded_uncert
yrgy;first;1329;absolute;Yrgyz 1329;48.6204;61.2568;0.0;980904973.54;0.28;0.673;0.682;-0.009;;;-305.89;13.27;0.39;0.27;-0.1;980905173.31;5.98;11.96
zhan;first;661;absolute;Zhanakorgan 661;43.9422;67.1944;131.0;980451484.1;2.08;0.882;0.682;0.2;;;-300.18;0.43;0.75;0.0;-0.0;980451748.67;6.33;12.66
zhas;first;zhas;absolute;Zhasan zhas;48.5681;76.5823;720.0;980711733.64;1.11;0.863;0.683;0.18;;;-250.05;-28.54;4.22;2.99;-12.34;980711961.86;6.35;12.7
zhel;first;84;absolute;Zhelezinka 84;53.537;75.3074;64.0;981337599.41;0.44;0.678;0.683;-0.005;;;-295.93;-3.53;5.03;3.49;-17.25;981337801.74;6.7;13.41
zhet;first;913;absolute;Zhetysaj 913;40.7793;68.3249;278.0;980082973.57;1.13;0.672;0.682;-0.01;;;-304.4;-1.65;3.45;2.39;-8.07;980083178.98;6.42;12.84
aksa;first;498;relative;Aksaj_498;51.13856;53.26055;;;;;;;-20660.94;0.28;;;;;;981097905.58;7.38;14.75
aksa;first;bere;relative;Aksaj_bere;51.14277;53.26033;;;;;;;-21601.29;0.33;;;;;;981096955.14;7.38;14.76
aksu;first;9292;relative;Aksuat_9292;47.75607;82.83754;;;;;;;-2208.8;2.13;;;;;;980636325.04;7.57;15.14
akto;first;1304;relative;Aktobe_1304;50.2993;57.2029;;;;;;;-4335.62;0.47;;;;;;980960593.41;7.47;14.94
arka;first;742;relative;Arkalyk_742;50.30259;66.87301;;;;;;;-8323.92;0.55;;;;;;980967767.51;7.43;14.85
atba;first;9340;relative;Atbasar_9340;51.89202;68.53272;;;;;;;9808.24;0.54;;;;;;981149074.56;7.45;14.9
ayag;first;847;relative;Ajagoz_847;48.02216;80.41914;;;;;;;-2518.09;0.98;;;;;;980662428.81;7.49;14.98
beyn;first;125;relative;Bejneu_125;45.24641;55.14035;;;;;;;-3316.62;0.64;;;;;;980603708.27;7.63;15.26
bola;first;67;relative;Bolashak_67;42.32502;53.66043;;;;;;;1260.63;0.55;;;;;;980368057.77;7.4;14.8
bola;first;unk3;relative;Bolashak_unk3;42.32823;53.69127;;;;;;;-2802.33;0.55;;;;;;980363990.11;7.4;14.8
chel;first;1700;relative;Chelkar_1700;47.90277;59.6189;;;;;;;18753.78;0.69;;;;;;980822907.77;8.0;16.01
ekib;first;1;relative;Ekibastuz_1;51.70565;75.24643;;;;;;;2572.61;2.86;;;;;;981151039.33;8.47;16.95
ekib;first;11;relative;Ekibastuz_11;52.13085;75.56404;;;;;;;84944.3;2.51;;;;;;981233396.66;8.36;16.72
emba;first;1248;relative;Emba_1248;48.85559;58.26371;;;;;;;21718.07;0.79;;;;;;980905853.59;7.78;15.56
emba;first;unk6;relative;Emba_unk6;48.84542;58.18696;;;;;;;2626.2;0.78;;;;;;980886746.52;7.78;15.56
fshe;first;92;relative;Fort-Shevchenko_92;44.51375;50.28562;;;;;;;-5675.19;0.5;;;;;;980555448.68;7.73;15.46
gany;first;68;relative;Ganjushkino_68;46.59219;49.20547;;;;;;;3635.96;0.34;;;;;;980756230.09;7.57;15.13
inde;first;71;relative;Inderborskij_71;48.56113;51.77397;;;;;;;-10901.38;2.2;;;;;;980864335.44;8.04;16.07
inde;first;kote;relative;Inderborskij_kote;49.13252;51.84993;;;;;;;108963.91;2.14;;;;;;980984187.36;8.02;16.04
kara;first;909;relative;Karazhal_909;47.95548;70.76331;;;;;;;-12631.29;0.64;;;;;;980711498.12;7.38;14.76
kara;first;972;relative;Karazhal_972;48.00969;70.72774;;;;;;;4018.24;0.64;;;;;;980728147.65;7.38;14.76
kark;first;948;relative;Karkaralinsk_948;49.38557;75.45428;;;;;;;-12865.51;0.53;;;;;;980741563.79;7.48;14.96
kaul;first;593;relative;Karaaul_593;48.79782;79.36854;;;;;;;-24600.55;0.59;;;;;;980744034.06;7.39;14.77
kaul;first;860;relative;Karaaul_860;48.9304;79.32987;;;;;;;1151.8;0.6;;;;;;980769801.99;7.39;14.78
kazt;first;74;relative;Kaztalovka_74;49.7532;48.70448;;;;;;;-9266.7;0.7;;;;;;981023118.49;7.41;14.82
kazt;first;451;relative;Kaztalovka_451;49.74308;48.55199;;;;;;;-6802.92;0.66;;;;;;981025585.79;7.41;14.81
kege;first;1287;relative;Kegen_1287;42.9813;79.24783;;;;;;;-19497.61;2.46;;;;;;979847861.19;7.67;15.34
kkar;first;814;relative;Katon-Karagaj_814;49.16934;85.51804;;;;;;;24471.62;0.86;;;;;;980615836.26;7.64;15.29
kokp;first;859;relative;Kokpekty_859;48.72297;82.43946;;;;;;;-2027.04;0.7;;;;;;980766594.89;7.31;14.61
kokp;first;864;relative;Kokpekty_864;48.70153;82.47312;;;;;;;401.07;0.67;;;;;;980769022.65;7.3;14.61
kosk;first;923;relative;Koskol'_923;47.58047;64.52836;;;;;;;323.07;0.43;;;;;;980780100.02;7.38;14.77
kost;first;4846;relative;Kostanaj_4846;53.17422;63.56502;;;;;;;-1336.6;0.33;;;;;;981281294.2;7.56;15.13
krbl;first;3241;relative;Karabalyk_3241;53.74685;62.08609;;;;;;;308.08;0.46;;;;;;981311590.99;7.32;14.64
krmd;first;144;relative;Karamendy_144;51.66169;64.22544;;;;;;;-489.84;0.33;;;;;;981126098.81;7.36;14.73
krmd;first;752;relative;Karamendy_752;51.67987;64.22535;;;;;;;556.6;0.34;;;;;;981127144.2;7.36;14.73
kuls;first;145;relative;Kul'sary_145;46.98792;54.09797;;;;;;;-4269.83;0.4;;;;;;980774002.81;7.54;15.07
kyzy;first;961;relative;Kyzylorda_961;44.8273;65.56989;;;;;;;-665.04;0.5;;;;;;980540671.5;7.87;15.75
myna;first;141;relative;Mynaral_141;45.42501;73.65796;;;;;;;-79.17;0.65;;;;;;980518506.18;7.43;14.86
myna;first;331;relative;Mynaral_331;45.11397;73.9661;;;;;;;-56430.23;0.62;;;;;;980462155.87;7.43;14.86
